year,month,species_id,rodent_type,plot_type,captures
1993,5,DM,Kangaroo Rat,Control,0.4838709677419355
1993,5,DO,Kangaroo Rat,Control,0.0967741935483871
1993,5,DS,Kangaroo Rat,Control,0.0967741935483871
1993,5,PE,Granivore,Control,0.03225806451612903
1993,5,PF,Granivore,Control,0.03225806451612903
1993,5,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1993,5,PP,Granivore,Control,0.06451612903225806
1993,5,PP,Granivore,Long-term Krat Exclosure,0.06451612903225806
1993,5,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1993,6,DM,Kangaroo Rat,Control,0.4838709677419355
1993,6,DO,Kangaroo Rat,Control,0.06451612903225806
1993,6,DS,Kangaroo Rat,Control,0.0967741935483871
1993,6,PE,Granivore,Long-term Krat Exclosure,0.03225806451612903
1993,6,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1993,6,PP,Granivore,Control,0.12903225806451613
1993,6,PP,Granivore,Long-term Krat Exclosure,0.25806451612903225
1993,6,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1993,7,DM,Kangaroo Rat,Control,0.4838709677419355
1993,7,DO,Kangaroo Rat,Control,0.03225806451612903
1993,7,DS,Kangaroo Rat,Control,0.03225806451612903
1993,7,PF,Granivore,Control,0.0967741935483871
1993,7,PF,Granivore,Long-term Krat Exclosure,0.12903225806451613
1993,7,PP,Granivore,Control,0.06451612903225806
1993,7,PP,Granivore,Long-term Krat Exclosure,0.1935483870967742
1993,7,RM,Granivore,Control,0.03225806451612903
1993,7,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
1993,8,DM,Kangaroo Rat,Control,0.5161290322580645
1993,8,DO,Kangaroo Rat,Control,0.03225806451612903
1993,8,PF,Granivore,Control,0.12903225806451613
1993,8,PF,Granivore,Long-term Krat Exclosure,0.0967741935483871
1993,8,PP,Granivore,Control,0.06451612903225806
1993,8,PP,Granivore,Long-term Krat Exclosure,0.12903225806451613
1993,8,RM,Granivore,Long-term Krat Exclosure,0.06451612903225806
1993,9,DM,Kangaroo Rat,Control,0.3225806451612903
1993,9,DM,Kangaroo Rat,Long-term Krat Exclosure,0.0967741935483871
1993,9,DO,Kangaroo Rat,Control,0.06451612903225806
1993,9,DS,Kangaroo Rat,Control,0.03225806451612903
1993,9,PF,Granivore,Control,0.06451612903225806
1993,9,PF,Granivore,Long-term Krat Exclosure,0.16129032258064516
1993,9,PP,Granivore,Long-term Krat Exclosure,0.12903225806451613
1993,9,RM,Granivore,Long-term Krat Exclosure,0.12903225806451613
